paper_id	affiliations
kondo18_interspeech	['yamagata university, japan', 'currently with yamamoto electric corp., japan', 'muroran instutute of technology, japan']
cheng18_interspeech	['analytic measures inc., palo alto, california, u.s.a.']
haque18_interspeech	['department of computer science', 'center for computer research in music and acoustics', 'stanford university, usa']
chiu18_interspeech	['google, linkedin2']
you18_interspeech	['national engineering laboratory of speech and language information processing,', 'university of science and technology of china, hefei, china']
orife18_interspeech	
kawahara18_interspeech	['wakayama university, japan', 'health science university of hokkaido, japan', 'university of yamanashi, japan', 'meijo university, japan', 'nagoya university, japan']
lin18_interspeech	['baihu technology, co., ltd, china', 'zibot, inc., santa clara, california, usa', 'dept computer science, johns hopkins university, usa']
backstrom18_interspeech	['aalto university, department of signal processing and acoustics, finland', 'international audio laboratories erlangen, friedrich-alexander university (fau), germany']
paradacabaleiro18_interspeech	['zd.b chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'department of electronic engineering, university of rome tor vergata, italy', 'glam – group on language, audio & music, imperial college london, uk']
tsukada18_interspeech	['macquarie university, australia', 'university of oregon, usa', 'inner mongolia university, china']
dubey18_interspeech	['robust speech technologies lab, center for robust speech systems', 'the university of texas at dallas, richardson, tx- 75080, usa']
schuller18_interspeech	"['glam – group on language, audio & music, imperial college london, uk', 'zd.b chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'audeering gmbh, gilching, germany', 'pattern recognition lab, fau erlangen-nuremberg, germany', 'idn – interdisciplinary developmental neuroscience, medical university of graz, austria', 'university medical center gottingen, germany', ""department of women's and children's health, karolinska institutet, stockholm, sweden"", 'department of clinical psychology and psychotherapy, university of ulm, germany', 'shenzhen university general hospital, shenzhen, p.r. china', 'machine intelligence & signal processing group, technische universitat munchen, germany', 'university of oulu, finland']"
ylmaz18_interspeech	['cls/clst, radboud university, nijmegen, netherlands', 'dept. of electrical and computer engineering, national university of singapore, singapore']
weiner18_interspeech	['cognitive systems lab, university of bremen, germany', 'department of electrical engineering, indian institute of technology (iit) madras, india']
xuanda18_interspeech	['department of linguistics, graduate school of chinese academy of social sciences, china', 'institute of linguistics, chinese academy of social sciences, china', 'school of foreign studies, anhui university, china']
ajili18_interspeech	['lia-ceri, university of avignon, avignon, france', 'lig, univ.grenoble.alpes, grenoble, france']
rasooli18_interspeech	['department of computer science, columbia university, new york, ny', 'artificial intelligence and research, microsoft corporation, usa']
novakiii18_interspeech	
gold18_interspeech	['department of linguistics and modern languages, university of huddersfield, united kingdom']
ylmaz18b_interspeech	['cls/clst, radboud university, nijmegen, netherlands', 'dept. of electrical and computer engineering, national university of singapore, singapore', 'university of maryland, college park, md, usa', 'star lab, sri international, menlo park, ca, usa']
vanson18_interspeech	['nki-avl, amsterdam', 'aclc, university of amsterdam, the netherlands', 'idlab, university of ghent, belgium']
sadjadi18_interspeech	['nist/itl/iad/multimodal information group, md, usa', 'mit lincoln laboratory, lexington, ma, usa', 'u.s. department of defense, md, usa']
chen18_interspeech	['national engineering laboratory for speech and language information processing, university of', 'science and technology of china, hefei, china']
barnaud18_interspeech	['univ. grenoble alpes, cnrs, grenoble inp*, gipsa-lab', ' grenoble, france', 'univ. grenoble alpes, cnrs, lpnc', ' grenoble, france', 'cnrs - sorbonne universite - isir, paris, france', '∗institute of engineering univ. grenoble alpes']
chen18b_interspeech	['cambridge university engineering dept., cambridge, u.k.']
kanda18_interspeech	['hitachi ltd., japan']
hetherly18_interspeech	['lab41, in-q-tel']
levit18_interspeech	['microsoft, usa']
zhang18_interspeech	['beijing advanced innovation center for language resources, beijing language and culture', 'university, beijing 100083, china']
cai18_interspeech	['data science research center, duke kunshan university, kunshan, china', 'school of electronics and information technology, sun yat-sen university, guangzhou, china']
baur18_interspeech	['fti/tim, university of geneva, switzerland', 'automated language teaching & assessment institute, university of cambridge', 'independent researcher', 'department of electronic, electrical and systems engineering, university of birmingham', 'centre for language studies (cls), radboud university nijmegen']
wang18_interspeech	['†language technologies institute, carnegie mellon university, pittsburgh, pa, u.s.a.', '‡research and technology center, robert bosch llc, pittsburgh, pa, u.s.a.']
m18_interspeech	['national institute of technology karnataka, india', 'georgia institute of technology, atlanta, usa']
okabe18_interspeech	['data science research laboratories, nec corporation, japan', 'department of computer science, tokyo institute of technology, japan']
spreafico18_interspeech	['free university of bozen-bolzano, italy', 'acoustics research institute, vienna, austria']
han18_interspeech	"['zd.b chair of embedded intelligence for health care and wellbeing,', 'university of augsburg, germany', 'glam – group on language, audio & music, imperial college london, uk', ""laboratoire d'informatique de grenoble, universite grenoble alpes, france""]"
