paper_id	affiliations	author_area_id	author_area_label
yan23_interspeech	['department of neurological diagnosis and restoration, osaka university graduate school of', 'medicine, suita, osaka, japan', 'national institute for japanese language and linguistics, japan', 'department of neurosurgery, osaka university graduate school of medicine, suita, osaka, japan', 'global center for medical engineering and informatics, osaka university, suita, osaka, japan']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
chen23_interspeech	['school of computer science and engineering, sun yat-sen university, china', 'guangdong province key laboratory of information security technology, china', 'key laboratory of machine intelligence and advanced computing, ministry of education, china']	7	Speech Synthesis and Spoken Language Generation
csapo23_interspeech	['department of telecommunications and media informatics,', 'budapest university of technology and economics (bme), budapest, hungary', 'department of measurement and information systems, bme, budapest, hungary', 'sound and speech perception research group, institute of cognitive neuroscience and psychology,', 'research centre for natural sciences, budapest, hungary']	14	Special Sessions and Challenges
cheng23_interspeech	['adsplab, school of ece, peking university, china']	11	Spoken Dialog Systems and Conversational Analysis
raj23_interspeech	['clsp & 3hltcoe, johns hopkins university, baltimore, usa', 'xiaomi corp., beijing, china']	14	Special Sessions and Challenges
sharp23_interspeech	['university at buffalo, united states', 'independent researcher, china']	2	Phonetics, Phonology, and Prosody
cheng23b_interspeech	['adsplab, school of ece, peking university, china']	11	Spoken Dialog Systems and Conversational Analysis
park23_interspeech	['cnai, korea', 'institute for convergence research and education in advanced technology, yonsei university, korea', 'dept. of ee and gsai, postech, korea.']	7	Speech Synthesis and Spoken Language Generation
fish23_interspeech	['samsung research uk', 'university of surrey']	9	Speech Recognition: Architecture, Search, and Linguistic Components
cooke23_interspeech	['ikerbasque, bilbao, spain', 'university of the basque country, vitoria-gasteiz, spain']	1	Speech Perception, Production, and Acquisition by Human Listeners
rao23_interspeech	['travellingwave, seattle, wa, usa']	2	Phonetics, Phonology, and Prosody
zhu23_interspeech	['school of ece, peking university, china']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
amiriparian23_interspeech	['chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'institute for agile software development, augsburg university of applied sciences, germany', 'glam – group on language, audio, & music, imperial college london, uk']	11	Spoken Dialog Systems and Conversational Analysis
bain23_interspeech	"['visual geometry group, university of oxford', 'voice activity', 'detection', 'cut &', 'merge', 'phoneme', 'model', 'forced', 'alignment', ""[00.12→0.44] that's"", '[00.86→1.14] right.', '[01.98→2.33]  over', '…', '[89.13→89.45]  go!', 'transcript &', 'word-level timestamps', 'whisper', 'batch', 'input audio', '<|transcribe|>', 'pad to 30s', 'figure 1: whisperx: we present a system for efficient speech transcription of long-form audio with word-level time alignment. the', 'input audio is first segmented with voice activity detection and then cut & merged into approximately 30-second input chunks with', 'boundaries that lie on minimally active speech regions. the resulting chunks are then: (i) transcribed in parallel with whisper, and (ii)', 'forced aligned with a phoneme recognition model to produce accurate word-level timestamps at high throughput.']"	9	Speech Recognition: Architecture, Search, and Linguistic Components
ding23_interspeech	['sensetime research', 'university of science and technology beijing']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
dang23_interspeech	['graduate school of informatics, nagoya university, japan', 'school of informatics, daido university, japan']	5	Analysis of Speech and Audio Signals
