paper_id	affiliations
wu19_interspeech	['center for language and speech processing,', 'human language technology center of excellence,', 'johns hopkins university, baltimore, md, usa']
yeung19_interspeech	['dept. of electrical and computer engineering, university of california, los angeles, usa']
gale19_interspeech	['center for spoken language understanding (cslu)', 'oregon health & science university (ohsu), portland, or']
ribeiro19_interspeech	['the centre for speech technology research, university of edinburgh, uk']
loukina19_interspeech	['educational testing service, usa']
lopes19_interspeech	['nova lincs, departamento de informatica', 'faculdade de ciencias e tecnologia', 'universidade nova de lisboa', '-516 caparica, portugal']
esposito19_interspeech	['universita degli studi della campania “luigi vanvitelli”, department of psychology and', 'international institute for advanced scientific studies (iiass), italy.', 'istituto nazionale di geofisica e vulcanologia, sez. di napoli osservatorio vesuviano, italy.']
niebuhr19_interspeech	['centre of industrial electronics, mads clausen institute, university of southern denmark', 'institute of culture and society, aarhus university']
cohn19_interspeech	['university of california, davis']
lai19_interspeech	['school of informatics, university of edinburgh, edinburgh, uk', 'edinburgh futures institute, school of literatures, languages and cultures, university of', 'edinburgh, edinburgh, uk', 'computer human interaction & creativity, monash university, melbourne, australia', 'toyota motor corporation, tokyo, japan', 'toyota motor europe, brussels, belgium']
sebastian19_interspeech	['telepathy labs gmbh, zurich, switzerland']
rajwadi19_interspeech	['school of architecture, computing and engineering, university of east london, u.k.', 'intelligent voice ltd., london, u.k.']
kleinlein19_interspeech	['information processing and telecommunications center, e.t.s.i. de telecomunicacion,', 'universidad politecnica de madrid', ', madrid, spain', 'department of languages and computer systems, university of granada', ', granada, spain']
pham19_interspeech	['interactive systems lab, karlsruhe institute of technology, karlsruhe, germany', 'carnegie mellon university, pittsburgh pa, usa']
li19_interspeech	['nvidia, santa clara, usa', 'new york university, new york, usa']
moritz19_interspeech	['mitsubishi electric research laboratories (merl), cambridge, ma, usa']
belinkov19_interspeech	['mit computer science and artificial intelligence laboratory, cambridge, ma, usa', 'harvard john a paulson school of engineering and applied sciences, cambridge, ma, usa', 'qatar computing research institute, hbku, doha, qatar']
tawara19_interspeech	['department of communications and computer engineering, waseda university, tokyo, japan']
tesch19_interspeech	['signal processing, universitat hamburg, germany']
martindonas19_interspeech	['dept. of signal theory, telematics and communications, university of granada, spain', 'department of communications engineering, paderborn university, germany']
bagheri19_interspeech	['sonos inc., santa barbara, ca, usa']
togami19_interspeech	['line corporation, tokyo, japan']
nakatani19_interspeech	['ntt communication science laboratories, ntt corporation']
snyder19_interspeech	['department of linguistics, university of california, davis']
illa19_interspeech	['electrical engineering, indian institute of science (iisc), bangalore-560012, india']
zhang19_interspeech	['college of intelligence and computing, tianjin university, tianjin, china']
yoshinaga19_interspeech	
uttam19_interspeech	[', yaman kumar ∗', ', dhruva sahrawat ∗', ', mansi aggarwal4,', 'rajiv ratn shah3, debanjan mahata5, amanda stent5', 'adobe, india', 'midas, iiit-delhi, india', 'bloomberg, usa']
saha19_interspeech	
chung19_interspeech	['computer science and artificial intelligence laboratory', 'massachusetts institute of technology', 'cambridge, ma 02139, usa']
huang19_interspeech	['acoustic research institute, austrian academy of sciences']
m19_interspeech	['indian institute of technology, kharagpur, india']
pascual19_interspeech	
nellore19_interspeech	['speech processing laboratory, international institute of information technology, hyderabad, india', 'tcs research and innovation-mumbai, india', 'indian institute of technology jammu, india']
chatziagapi19_interspeech	
kons19_interspeech	['ibm research']
lorenzotrueba19_interspeech	['amazon.com, cambridge, united kingdom']
neekhara19_interspeech	
